osm_node_id,latitude,longitude,street_names,highway_types,in_degree,out_degree,fully_bidirectional,traffic_signals,junction,minimum_branch_angle,maximum_branch_angle,cross_score,likely_geometric_cross,osm_url,branch_1_neighbor,branch_1_bearing,branch_1_street,branch_1_highway,branch_2_neighbor,branch_2_bearing,branch_2_street,branch_2_highway,branch_3_neighbor,branch_3_bearing,branch_3_street,branch_3_highway,branch_4_neighbor,branch_4_bearing,branch_4_street,branch_4_highway
3053310352,13.8997831,100.718687,,residential,4,4,True,False,,89.95,90.04,0.9996,True,https://www.openstreetmap.org/node/3053310352,3053310371,86.8,,residential,3053310378,176.84,,residential,3053310366,266.8,,residential,3053310333,356.84,,residential
3053310365,13.8990541,100.7187284,,residential,4,4,True,False,,89.9,90.1,0.9994,True,https://www.openstreetmap.org/node/3053310365,3053310347,86.84,,residential,3053310357,176.85,,residential,3053310348,266.75,,residential,3053310378,356.85,,residential
5372934297,13.8500368,100.7162698,,residential,4,4,True,False,,89.88,90.12,0.9991,True,https://www.openstreetmap.org/node/5372934297,5372934298,87.32,,residential,5372934294,177.29,,residential,5372934296,267.16,,residential,5372934295,357.28,,residential
3840058837,13.8508347,100.704866,,residential,4,4,True,False,,89.88,90.12,0.999,True,https://www.openstreetmap.org/node/3840058837,3840058838,87.73,,residential,3840058805,177.85,,residential,3840058831,267.91,,residential,3840058871,357.85,,residential
3840059168,13.8577081,100.7067294,,residential,4,4,True,False,,89.81,90.2,0.9987,True,https://www.openstreetmap.org/node/3840059168,3840059186,0.34,,residential,3840059166,90.54,,residential,8299050751,180.35,,residential,3840059169,270.38,,residential
3841864162,13.8356059,100.7337442,ซอยนิมิตใหม่ 9,residential,4,4,True,False,,89.88,90.12,0.9987,True,https://www.openstreetmap.org/node/3841864162,8122705711,70.07,ซอยนิมิตใหม่ 9,residential,3841863954,159.96,,residential,3841864158,250.08,ซอยนิมิตใหม่ 9,residential,8169782568,339.96,,residential
6117202608,13.8496955,100.7086544,,residential,4,4,True,False,,89.87,90.12,0.9987,True,https://www.openstreetmap.org/node/6117202608,6117202609,87.8,,residential,6117202605,177.68,,residential,6117202607,267.79,,residential,6117202611,357.69,,residential
6117202611,13.8499982,100.7086418,,residential,4,4,True,False,,89.87,90.12,0.9987,True,https://www.openstreetmap.org/node/6117202611,6117202612,87.78,,residential,6117202608,177.69,,residential,6117202610,267.8,,residential,6117202614,357.67,,residential
6117202617,13.8506113,100.7086161,,residential,4,4,True,False,,89.88,90.13,0.9987,True,https://www.openstreetmap.org/node/6117202617,6117202618,87.79,,residential,6117202614,177.67,,residential,6117202616,267.79,,residential,6117202620,357.68,,residential
3053324399,13.8708535,100.7436608,,residential,4,4,True,False,,89.86,90.14,0.9985,True,https://www.openstreetmap.org/node/3053324399,3053324441,85.91,,residential,3053324406,176.05,,residential,3053324453,265.91,,residential,3053324398,356.03,,residential
3840099939,13.8508343,100.6861221,,residential,4,4,True,False,,89.73,90.27,0.9985,True,https://www.openstreetmap.org/node/3840099939,3840099948,6.07,,residential,3840099938,96.06,,residential,3840099933,186.06,,residential,3840099941,276.34,,residential
6124096911,13.8342861,100.7171859,,residential,4,4,True,False,,89.82,90.27,0.9985,True,https://www.openstreetmap.org/node/6124096911,6124096910,86.47,,residential,6124096906,176.29,,residential,6124096912,266.29,,residential,6124096971,356.2,,residential
3840087143,13.8525835,100.6993831,ซอยพระยาสุเรนทร์ 34,residential,4,4,True,False,,89.79,90.22,0.9982,True,https://www.openstreetmap.org/node/3840087143,3840087145,89.4,ซอยพระยาสุเรนทร์ 34,residential,8140770212,179.61,,residential,3840087142,269.5,ซอยพระยาสุเรนทร์ 34,residential,3840087162,359.61,,residential
10248517831,13.8874716,100.6968832,,residential,4,4,True,False,,89.79,90.21,0.998,True,https://www.openstreetmap.org/node/10248517831,10941530132,86.77,,residential,10941530140,176.56,,residential,10248517832,266.77,,residential,10248517830,356.63,,residential
3840087145,13.852587,100.6997267,ซอยพระยาสุเรนทร์ 34,residential,4,4,True,False,,89.65,90.35,0.9979,True,https://www.openstreetmap.org/node/3840087145,6129278576,89.78,ซอยพระยาสุเรนทร์ 34,residential,3840087131,179.75,,residential,3840087143,269.4,ซอยพระยาสุเรนทร์ 34,residential,3840087165,359.75,,residential
3840059028,13.8567375,100.7060201,,residential,4,4,True,False,,89.65,90.33,0.9978,True,https://www.openstreetmap.org/node/3840059028,3840059029,89.43,,residential,3840059014,179.08,,residential,3840059027,269.04,,residential,3840059049,359.1,,residential
5941639266,13.8939706,100.7190292,,residential,4,4,True,False,,89.64,90.34,0.9978,True,https://www.openstreetmap.org/node/5941639266,5941639268,0.34,,residential,5941639162,90.3,,residential,8341609738,180.36,,residential,5941639265,270.0,,residential
6129278576,13.8525883,100.7000695,ซอยพระยาสุเรนทร์ 34,residential,4,4,True,False,,89.78,90.22,0.9977,True,https://www.openstreetmap.org/node/6129278576,8140770208,89.76,ซอยพระยาสุเรนทร์ 34,residential,3840087116,179.98,,residential,3840087145,269.78,ซอยพระยาสุเรนทร์ 34,residential,6129278577,359.97,,residential
6117202614,13.850304,100.708629,,residential,4,4,True,False,,89.78,90.22,0.9976,True,https://www.openstreetmap.org/node/6117202614,6117202615,87.89,,residential,6117202611,177.67,,residential,6117202613,267.88,,residential,6117202617,357.67,,residential
3053310357,13.8987104,100.7187479,,residential,4,4,True,False,,89.7,90.29,0.9973,True,https://www.openstreetmap.org/node/3053310357,3053310354,86.54,,residential,3053310349,176.84,,residential,3053310362,266.65,,residential,3053310365,356.85,,residential
7908343245,13.8518357,100.7085631,,residential,4,4,True,False,,89.7,90.3,0.9973,True,https://www.openstreetmap.org/node/7908343245,7908343244,87.69,,residential,7908343242,177.5,,residential,7908343246,267.2,,residential,7908343248,357.5,,residential
3053347097,13.8689702,100.7136292,,residential,4,4,True,False,,89.52,90.51,0.9972,True,https://www.openstreetmap.org/node/3053347097,3053347451,89.19,,residential,3053347437,178.71,,residential,3053347053,269.22,,residential,3053347112,359.2,,residential
2562521952,13.873975,100.7205492,,residential,4,4,True,False,,89.66,90.34,0.9971,True,https://www.openstreetmap.org/node/2562521952,2562521953,89.33,,residential,2562521955,179.67,,residential,8061345510,269.85,,residential,2562521949,359.67,,residential
8392623432,13.8659605,100.6929934,,residential,4,4,True,False,,89.52,90.47,0.9971,True,https://www.openstreetmap.org/node/8392623432,8392623431,87.64,,residential,8392623429,177.16,,residential,8392623433,267.21,,residential,8392623436,357.17,,residential
2562521949,13.8743331,100.7205471,,residential,4,4,True,False,,89.67,90.32,0.997,True,https://www.openstreetmap.org/node/2562521949,2562521950,90.0,,residential,2562521952,179.67,,residential,8061345509,269.9,,residential,2562521946,359.68,,residential
8424633782,13.8993561,100.7117386,,residential,4,4,True,False,,89.66,90.34,0.997,True,https://www.openstreetmap.org/node/8424633782,8424633781,86.89,,residential,8424633785,176.69,,residential,8424633783,266.34,,residential,8424621634,356.69,,residential
3834869492,13.8688579,100.7104047,,residential,4,4,True,False,,89.67,90.34,0.9969,True,https://www.openstreetmap.org/node/3834869492,3834869494,88.44,,residential,3834869476,178.65,,residential,3834869491,268.99,,residential,3834869506,358.66,,residential
