importance_rank,osm_node_id,latitude,longitude,street_names,demand_level,total_demand_rate,design,design_name,completion_rate,avg_waiting_time_s,avg_queue_length,throughput_veh_s,traffic_efficiency
1,350390643,13.841924,100.7131838,ถนนสุเหร่าคลองหนึ่ง; ถนนเจริญพัฒนา,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,8.391304347826088,0.32166666666666666,0.03833333333333333,0.8533945258356035
2,5877834594,13.8601908,100.7403845,ซอยวัดสุขใจ,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,1.6363636363636365,0.03,0.018333333333333333,0.9674711212264354
3,2722951931,13.8941035,100.7034483,ซอยหนองระแหง 5; ถนนไทยรามัญ,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,7.780487804878049,0.5316666666666666,0.06833333333333333,0.851509667082885
4,3053324433,13.8860863,100.7221994,ถนนหทัยราษฎร์,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,23.285714285714285,1.0866666666666667,0.04666666666666667,0.6899659519393233
5,2739129171,13.8694104,100.7749543,วัดสุขใจ 36,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,10.727272727272727,0.19666666666666666,0.018333333333333333,0.8323668883983036
6,3834754707,13.8597869,100.7350807,ซอย วัดสุขใจ; ซอยวัดสุขใจ; วัดสุขใจ 1; วัดสุขใจ 4,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,15.26086956521739,0.585,0.03833333333333333,0.7704376811642852
7,3017429961,13.8311443,100.7610659,ถนนประชาร่วมใจ,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,6.5,0.39,0.06,0.8745571211651182
8,3841546184,13.8414941,100.7029031,ถนนสุเหร่าคลองหนึ่ง; สุเหร่าคลองหนึ่ง 5; สุเหร่าคลองหนึ่ง ซอย 5,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,20.071428571428573,0.4683333333333333,0.023333333333333334,0.7373648183310539
9,2722951940,13.9061458,100.6996359,ซอยหนองระแหง 5; ถนนหนองระแหง,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,10.8,0.54,0.05,0.8158837305413968
10,3010327836,13.8353969,100.7675243,ซอยประชาร่วมใจ 33; ซอยประชาร่วมใจ 44; ถนนประชาร่วมใจ,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,4.586206896551724,0.22166666666666668,0.04833333333333333,0.9096541714810968
11,5817136062,13.8393703,100.773706,ถนนประชาร่วมใจ,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,16.695652173913043,0.64,0.03833333333333333,0.7558452307055659
12,5935920708,13.8958999,100.7151813,ถนนไทยรามัญ,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,11.24390243902439,0.7683333333333333,0.06833333333333333,0.8013777783722789
13,3010521944,13.8416099,100.7790452,ซอยประชาร่วมใจ 45; ซอยประชาร่วมใจ 60; ถนนประชาร่วมใจ,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,15.384615384615385,0.3333333333333333,0.021666666666666667,0.7806101694915255
14,5870258361,13.8479329,100.7273239,ถนนสามวา,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,14.571428571428571,0.17,0.011666666666666667,0.7955230204312211
15,5933246533,13.9119598,100.7070246,ถนนหนองระแหง,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,4.857142857142857,0.056666666666666664,0.011666666666666667,0.9135800375753712
16,5933392468,13.9087958,100.6955807,ซอยหนองระแหง 4,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,9.473684210526315,0.3,0.03166666666666667,0.8415421686746987
17,8236662649,13.8768935,100.7817271,ถนนแบนชะโด,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,24.4,0.20333333333333334,0.008333333333333333,0.7209676841073691
18,3673190579,13.8953156,100.6961963,ซอยไทยรามัญ; ถนนไทยรามัญ,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,7.375,0.09833333333333333,0.013333333333333334,0.8767483847165658
19,8392620342,13.8729128,100.6894381,ถนนพระยาสุเรนทร์,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,8.142857142857142,0.095,0.011666666666666667,0.8672158566461472
20,3012564666,13.8466951,100.7908739,ซอยประชาร่วมใจ 63; ถนนประชาร่วมใจ,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,16.333333333333332,0.16333333333333333,0.01,0.780485941993649
21,3843843349,13.824774,100.7511067,ถนนประชาร่วมใจ,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,18.0,0.24,0.013333333333333334,0.7633495145631068
22,3845068387,13.824209,100.7125358,ซอยเจริญพัฒนา 5; ถนนเจริญพัฒนา,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,12.5,0.20833333333333334,0.016666666666666666,0.8133771275007464
23,5936141680,13.9033267,100.6912209,ซอยหนองระแหง 4,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,7.5,0.125,0.016666666666666666,0.8738461538461539
24,3834754705,13.8596453,100.7392992,ซอยวัดสุขใจ; วัดสุขใจ 5/1; วัดสุขใจ 6,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,14.176470588235293,0.40166666666666667,0.028333333333333332,0.7883335345242248
25,1669530698,13.8330777,100.7640554,ถนนประชาร่วมใจ,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,10.266666666666667,0.5133333333333333,0.05,0.8229008385755108
26,6128822544,13.8408751,100.698682,ถนนสุเหร่าคลองหนึ่ง; สุเหร่าคลองหนึ่ง 2,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,26.0,0.30333333333333334,0.011666666666666667,0.7068159660492057
27,1669530708,13.8365706,100.7693233,ถนนประชาร่วมใจ,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,14.964285714285714,0.6983333333333334,0.04666666666666667,0.7682042807783194
28,5941658256,13.8956484,100.7134093,ถนนไทยรามัญ,low,0.5,four_way,Existing Signalized Four-Way,0.13651877133105803,10.11111111111111,0.6066666666666667,0.06,0.8205582650825768
