importance_rank,osm_node_id,latitude,longitude,street_names,highway_types,in_degree,out_degree,fully_bidirectional,traffic_signals,junction,minimum_branch_angle,maximum_branch_angle,cross_score,likely_geometric_cross,osm_url,branch_1_neighbor,branch_1_bearing,branch_1_street,branch_1_highway,branch_2_neighbor,branch_2_bearing,branch_2_street,branch_2_highway,branch_3_neighbor,branch_3_bearing,branch_3_street,branch_3_highway,branch_4_neighbor,branch_4_bearing,branch_4_street,branch_4_highway,betweenness_centrality,baseline_control
1,350390643,13.841924,100.7131838,ถนนสุเหร่าคลองหนึ่ง; ถนนเจริญพัฒนา,secondary; tertiary,4,4,True,False,,88.46,92.41,0.9866,True,https://www.openstreetmap.org/node/350390643,8201564391,5.31,ถนนเจริญพัฒนา,tertiary,8201071378,94.87,ถนนสุเหร่าคลองหนึ่ง,secondary,6124096991,187.28,ถนนเจริญพัฒนา,tertiary,6124096990,276.85,ถนนสุเหร่าคลองหนึ่ง,secondary,0.1701371889024888,assumed fixed-time signal
2,2722951931,13.8941035,100.7034483,ซอยหนองระแหง 5; ถนนไทยรามัญ,residential; tertiary,4,4,True,False,,80.55,98.81,0.9165,True,https://www.openstreetmap.org/node/2722951931,5941670492,77.33,ถนนไทยรามัญ,tertiary,6131175743,176.14,ซอยหนองระแหง 5,residential,5941752933,260.56,ถนนไทยรามัญ,tertiary,8323516709,356.78,ซอยหนองระแหง 5,residential,0.1164121787025704,assumed fixed-time signal
3,3053324433,13.8860863,100.7221994,ถนนหทัยราษฎร์,residential; secondary,4,4,True,False,,88.26,91.45,0.989,True,https://www.openstreetmap.org/node/3053324433,3053324448,87.82,,residential,6124182917,178.36,ถนนหทัยราษฎร์,secondary,8073679424,268.11,,residential,5941639349,359.56,ถนนหทัยราษฎร์,secondary,0.10910546715626276,assumed fixed-time signal
4,3834754707,13.8597869,100.7350807,ซอย วัดสุขใจ; ซอยวัดสุขใจ; วัดสุขใจ 1; วัดสุขใจ 4,residential; tertiary,4,4,True,False,,84.3,96.5,0.9381,True,https://www.openstreetmap.org/node/3834754707,3834754699,83.68,ซอยวัดสุขใจ,tertiary,3839892569,168.24,วัดสุขใจ 4,residential,3839892586,262.88,ซอย วัดสุขใจ; ซอยวัดสุขใจ,tertiary,3834754752,347.18,วัดสุขใจ 1,residential,0.10360159118727051,assumed fixed-time signal
5,5877834594,13.8601908,100.7403845,ซอยวัดสุขใจ,residential; tertiary,4,4,True,False,,63.89,116.16,0.7728,True,https://www.openstreetmap.org/node/5877834594,5877834596,62.88,ซอยวัดสุขใจ,tertiary,8447601555,167.61,,residential,3834754712,242.83,ซอยวัดสุขใจ,tertiary,5877834589,359.0,,residential,0.10206956344349247,assumed fixed-time signal
6,2739129171,13.8694104,100.7749543,วัดสุขใจ 36,residential; tertiary,4,4,True,False,,64.27,116.6,0.7214,True,https://www.openstreetmap.org/node/2739129171,2739129170,100.17,วัดสุขใจ 36,tertiary,8608023568,164.45,,residential,2739129173,281.05,วัดสุขใจ 36,tertiary,8186441949,346.62,,residential,0.09250968992248063,assumed fixed-time signal
7,3017429961,13.8311443,100.7610659,ถนนประชาร่วมใจ,residential; secondary,4,4,True,False,,85.41,96.31,0.9528,True,https://www.openstreetmap.org/node/3017429961,1669530692,57.41,ถนนประชาร่วมใจ,secondary,5883318906,149.6,,residential,5883318905,235.02,ถนนประชาร่วมใจ,secondary,3017429976,331.33,,residential,0.08698490412076704,assumed fixed-time signal
8,6128822544,13.8408751,100.698682,ถนนสุเหร่าคลองหนึ่ง; สุเหร่าคลองหนึ่ง 2,residential; secondary,4,4,True,False,,81.6,98.39,0.9103,True,https://www.openstreetmap.org/node/6128822544,9343429231,0.31,,residential,8295400021,81.91,ถนนสุเหร่าคลองหนึ่ง,secondary,6128822543,179.66,สุเหร่าคลองหนึ่ง 2,residential,8295400019,261.91,ถนนสุเหร่าคลองหนึ่ง,secondary,0.07001478988168096,assumed fixed-time signal
9,2722951940,13.9061458,100.6996359,ซอยหนองระแหง 5; ถนนหนองระแหง,residential; tertiary,4,4,True,False,,73.85,101.62,0.9103,True,https://www.openstreetmap.org/node/2722951940,5936033922,50.72,ถนนหนองระแหง,tertiary,8323516709,142.67,ซอยหนองระแหง 5,residential,8323516714,235.25,ถนนหนองระแหง,tertiary,8323516703,309.1,,residential,0.06566299469604243,assumed fixed-time signal
10,3010327836,13.8353969,100.7675243,ซอยประชาร่วมใจ 33; ซอยประชาร่วมใจ 44; ถนนประชาร่วมใจ,residential; secondary,4,4,True,False,,85.64,94.39,0.9519,True,https://www.openstreetmap.org/node/3010327836,5819567003,55.26,ถนนประชาร่วมใจ,secondary,3010327299,149.52,ซอยประชาร่วมใจ 44,residential,3010327329,235.16,ถนนประชาร่วมใจ,secondary,8182260087,329.55,ซอยประชาร่วมใจ 33,residential,0.05310179518563852,assumed fixed-time signal
